Constituent #,Name,Amplitude,Phase,Speed,Description
1,M2,0.616,351.2,28.9841042,Principal lunar semidiurnal constituent
2,S2,0.143,353.6,30,Principal solar semidiurnal constituent
3,N2,0.13,329.5,28.4397295,Larger lunar elliptic semidiurnal constituent
4,K1,0.374,112.7,15.0410686,Lunar diurnal constituent
5,M4,0.011,104,57.9682084,Shallow water overtides of principal lunar constituent
6,O1,0.228,105.3,13.9430356,Lunar diurnal constituent
7,M6,0.005,116.7,86.9523127,Shallow water overtides of principal lunar constituent
8,MK3,0.012,156.9,44.0251729,Shallow water terdiurnal
9,S4,0,0,60,Shallow water overtides of principal solar constituent
10,MN4,0.005,87.7,57.4238337,Shallow water quarter diurnal constituent
11,NU2,0.027,332.4,28.5125831,Larger lunar evectional constituent
12,S6,0,0,90,Shallow water overtides of principal solar constituent
13,MU2,0.006,235.4,27.9682084,Variational constituent
14,2N2,0.013,308.4,27.8953548,Lunar elliptical semidiurnal second-order constituent
15,OO1,0.009,132,16.1391017,Lunar diurnal
16,LAM2,0.009,349.4,29.4556253,Smaller lunar evectional constituent
17,S1,0.01,130.7,15,Solar diurnal constituent
18,M1,0.008,133.8,14.4966939,Smaller lunar elliptic diurnal constituent
19,J1,0.019,130.2,15.5854433,Smaller lunar elliptic diurnal constituent
20,MM,0,0,0.5443747,Lunar monthly constituent
21,SSA,0.029,259.1,0.0821373,Solar semiannual constituent
22,SA,0.048,223.5,0.0410686,Solar annual constituent
23,MSF,0,0,1.0158958,Lunisolar synodic fortnightly constituent
24,MF,0,0,1.0980331,Lunisolar fortnightly constituent
25,RHO,0.009,112.7,13.4715145,Larger lunar evectional diurnal constituent
26,Q1,0.039,103.3,13.3986609,Larger lunar elliptic diurnal constituent
27,T2,0.011,320.5,29.9589333,Larger solar elliptic constituent
28,R2,0.001,353.6,30.0410667,Smaller solar elliptic constituent
29,2Q1,0.003,113.4,12.8542862,Larger elliptic diurnal
30,P1,0.119,110.1,14.9589314,Solar diurnal constituent
31,2SM2,0.003,174.4,31.0158958,Shallow water semidiurnal constituent
32,M3,0,0,43.4761563,Lunar terdiurnal constituent
33,L2,0.02,10,29.5284789,Smaller lunar elliptic semidiurnal constituent
34,2MK3,0.012,112.6,42.9271398,Shallow water terdiurnal constituent
35,K2,0.041,345.2,30.0821373,Lunisolar semidiurnal constituent
36,M8,0,0,115.9364166,Shallow water eighth diurnal constituent
37,MS4,0.005,104.9,58.9841042,Shallow water quarter diurnal constituent
