Year,Int,IntHigh,High
2020,5.5190155,5.7190155,5.7190155
2030,8.6190155,9.7190155,10.6190155
2040,13.119016,16.119016,19.019016
2050,19.019016,25.719016,33.119016
2060,26.219016,40.919016,54.01902
2070,35.119016,61.01902,82.21902
2080,47.419016,83.41902,115.41902
2090,64.81902,107.31902,151.81902
2100,83.91902,135.11902,188.41902
2110,103.91902,160.51902,227.31902
2120,120.21902,180.81902,259.91902
2130,135.51902,198.91902,286.81902
2140,150.11902,215.31902,314.41902
2150,165.51902,231.41902,339.91902
